title_de,title_en
Afghanisch,Afghan
Albanisch,Albanian
Arabisch,Arabic
Französisch,French
Spanisch,Spanish
Armenisch,Armenian
Englisch,English
Deutsch,German
Aseri,Azeri
Bangla,Bangla
Russisch,Russian
Weißrussisch,Belarusian
Flämisch,Flemish
Portugiesisch,Portuguese
Bulgarisch,Bulgarian
Chinesisch,Chinese
Kroatisch,Croatian
Tschechisch,Czech
Dänisch,Danish
Ägyptisch,Egyptian
Estisch,Estonian
Finnisch,Finnish
Griechisch,Greek
Ungarisch,Hungarian
Hindi,Hindi
Islandisch,Icelandic
Malaiisch,Malay
Iranisch,Iranian
Irakisch,Iraqi
Hebräisch,Hebrew
Italienisch,Italian
Japanisch,Japanese
Swahili,Swahili
Koreanisch,Korean
Litauisch,Lithuanian
Madagassisch,Malagasy
Maltesisch,Maltese
Afrikaans,Afrikaans
Niederländisch,Dutch
Norwegisch,Norwegian
Philippinisch,Pilipino
Polnisch,Polish
Rumänisch,Romanian
Schottisch,Scottish
Slowakisch,Slovak
Slowenisch,Slovenian
Somalisch,Somali
Schwedisch,Swedish
Türkisch,Turkish
Ukrainisch,Ukrainian
Amerikanisch,American English
Bantu,Bantu
