tagcategory_id,title_de,title_en,suggestion,created_by
2,"Aerobic, Sportaerobic","Aerobic, Sportaerobic",yes,0
2,Agility,Agility,yes,0
2,Aikido,Aikido,yes,0
2,Air Hockey,Air Hockey,yes,0
2,Airsoft,Airsoft,yes,0
2,Akontion,Akontion,yes,0
2,"Akrobatik, Sportakrobatik","Akrobatik, Sportakrobatik",yes,0
2,Allgemeines Turnen,Allgemeines Turnen,yes,0
2,Alpinklettern,Alpinklettern,yes,0
2,Amateurfunkpeilen,Amateurfunkpeilen,yes,0
2,American Football,American Football,yes,0
2,American Handball,American Handball,yes,0
2,Angeln,Angeln,yes,0
2,Angelsport,Angelsport,yes,0
2,Apnoetauchen,Apnoetauchen,yes,0
2,Aquaball,Aquaball,yes,0
2,Aquathlon,Aquathlon,yes,0
2,Arena Football,Arena Football,yes,0
2,Armdrücken,Armdrücken,yes,0
2,Ausdruckstanz (Modern Dance),Ausdruckstanz (Modern Dance),yes,0
2,Australian Football,Australian Football,yes,0
2,Autoball,Autoball,yes,0
2,Automobilsport,Automobilsport,yes,0
2,Axtwerfen,Axtwerfen,yes,0
2,Backgammon,Backgammon,yes,0
2,Badminton,Badminton,yes,0
2,Bahnengolf,Bahnengolf,yes,0
2,Bahnradsport,Bahnradsport,yes,0
2,Ballbadminton,Ballbadminton,yes,0
2,Ballonfahren,Ballonfahren,yes,0
2,Ballonspiel,Ballonspiel,yes,0
2,Bandy,Bandy,yes,0
2,Bankdrücken,Bankdrücken,yes,0
2,Barlauf,Barlauf,yes,0
2,Baseball,Baseball,yes,0
2,Base-Jumping,Base-Jumping,yes,0
2,Basketball,Basketball,yes,0
2,Basteln,Basteln,yes,0
2,Baumstammwerfen,Baumstammwerfen,yes,0
2,Beachbasketball,Beachbasketball,yes,0
2,Beachhandball,Beachhandball,yes,0
2,Beachminton,Beachminton,yes,0
2,Beachrugby,Beachrugby,yes,0
2,Beachsoccer,Beachsoccer,yes,0
2,Beachvolleyball,Beachvolleyball,yes,0
2,Berglauf,Berglauf,yes,0
2,Bergrennen,Bergrennen,yes,0
2,Bergsteigen,Bergsteigen,yes,0
2,Biathle,Biathle,yes,0
2,Biathlon,Biathlon,yes,0
2,Bikebiathlon,Bikebiathlon,yes,0
2,Billard,Billard,yes,0
2,Billard,Billard,yes,0
2,Blindenfußball,Blindenfußball,yes,0
2,Blindschach,Blindschach,yes,0
2,Blitzschach,Blitzschach,yes,0
2,BMX,BMX,yes,0
2,Bob,Bob,yes,0
2,Boccia,Boccia,yes,0
2,Bodybuilding,Bodybuilding,yes,0
2,Bogenlaufen,Bogenlaufen,yes,0
2,Bogenschießen,Bogenschießen,yes,0
