tagcategory_id,title_de,title_en,suggestion,created_by
3,Abbrucharbeiter/in ,Abbrucharbeiter/in ,yes,0
3,"Abfall-, Entsorgungstechnik (grundständig)","Abfall-, Entsorgungstechnik (grundständig)",yes,0
3,"Abfall-, Entsorgungstechnik (weiterführend)","Abfall-, Entsorgungstechnik (weiterführend)",yes,0
3,Abfallbeauftragte/r,Abfallbeauftragte/r,yes,0
3,Abfallberater/in,Abfallberater/in,yes,0
3,Abfüller/in,Abfüller/in,yes,0
3,Abgleicher/in (Nachrichtentechnik) ,Abgleicher/in (Nachrichtentechnik) ,yes,0
3,Absatz- und Werbewirtschaftler/in ,Absatz- und Werbewirtschaftler/in ,yes,0
3,Absetzapparateführer/in ,Absetzapparateführer/in ,yes,0
3,Abteilungsleiter-Assistent/in ,Abteilungsleiter-Assistent/in ,yes,0
3,Abwassermeister/in,Abwassermeister/in,yes,0
3,Account Manager/in IT ,Account Manager/in IT ,yes,0
3,Account-Manager/in,Account-Manager/in,yes,0
3,Adremadrucker/in ,Adremadrucker/in ,yes,0
3,Aerobic-Trainer/in,Aerobic-Trainer/in,yes,0
3,Afrikanist/in ,Afrikanist/in ,yes,0
3,Afrikanist/in (Uni) ,Afrikanist/in (Uni) ,yes,0
3,Afrikanistik (grundständig),Afrikanistik (grundständig),yes,0
3,Afrikanistik (weiterführend),Afrikanistik (weiterführend),yes,0
3,Agrarbiologe/-biologin,Agrarbiologe/-biologin,yes,0
3,Agrarbiologe/-biologin (Uni) ,Agrarbiologe/-biologin (Uni) ,yes,0
3,Agrarbiologie (grundständig),Agrarbiologie (grundständig),yes,0
3,Agrarbiologie (weiterführend) ,Agrarbiologie (weiterführend) ,yes,0
3,Agraringenieur/in (FS) - Landwirt. Pflanzenprodukt. ,Agraringenieur/in (FS) - Landwirt. Pflanzenprodukt. ,yes,0
3,Agraringenieur/in (FS) - Landwirt. Tierproduktion ,Agraringenieur/in (FS) - Landwirt. Tierproduktion ,yes,0
3,Agraringenieur/in (FS) - Landwirt. Versuchsw.(Pflanzenprod.) ,Agraringenieur/in (FS) - Landwirt. Versuchsw.(Pflanzenprod.) ,yes,0
3,Agraringenieur/in (FS) - Landwirt. Versuchswesen (Tierpr.) ,Agraringenieur/in (FS) - Landwirt. Versuchswesen (Tierpr.) ,yes,0
3,Agraringenieur/in (FS) - Saat- und Pflanzenprodukte ,Agraringenieur/in (FS) - Saat- und Pflanzenprodukte ,yes,0
3,Agraringenieur/in (FS) - Techn. d. industriem.Tierproduktion ,Agraringenieur/in (FS) - Techn. d. industriem.Tierproduktion ,yes,0
3,Agraringenieur/in (FS) - Techn.d.industr. Pflanzenproduktion ,Agraringenieur/in (FS) - Techn.d.industr. Pflanzenproduktion ,yes,0
3,Agrarmanagement (grundständig),Agrarmanagement (grundständig),yes,0
3,Agrarmanagement (weiterführend),Agrarmanagement (weiterführend),yes,0
3,Agrarservicemeister/in,Agrarservicemeister/in,yes,0
3,Agrarwissenschaft (grundständig),Agrarwissenschaft (grundständig),yes,0
3,Agrarwissenschaft (weiterführend),Agrarwissenschaft (weiterführend),yes,0
3,Agrochemiker/in ,Agrochemiker/in ,yes,0
3,Agrotechniker/in/Mechanisator/in ,Agrotechniker/in/Mechanisator/in ,yes,0
3,Ägyptologe/Ägyptologin ,Ägyptologe/Ägyptologin ,yes,0
3,Ägyptologe/in (Uni) ,Ägyptologe/in (Uni) ,yes,0
3,Ägyptologie (grundständig),Ägyptologie (grundständig),yes,0
3,Ägyptologie (weiterführend),Ägyptologie (weiterführend),yes,0
3,Akkordeonfacharbeiter/in ,Akkordeonfacharbeiter/in ,yes,0
3,Akrobat/in ,Akrobat/in ,yes,0
3,Aktuar/in,Aktuar/in,yes,0
3,Akustiker/in,Akustiker/in,yes,0
3,Akustiker/in (Uni) ,Akustiker/in (Uni) ,yes,0
3,Akustikschreiner/in ,Akustikschreiner/in ,yes,0
3,Albanologe/Albanologin ,Albanologe/Albanologin ,yes,0
3,Algesiologe/Algesiologin,Algesiologe/Algesiologin,yes,0
3,Alleinsteuermann/-frau,Alleinsteuermann/-frau,yes,0
3,Allg. und vergleichende Kulturwissenschaft (grundständig),Allg. und vergleichende Kulturwissenschaft (grundständig),yes,0
3,Allg. und vergleichende Kulturwissenschaft (weiterführend),Allg. und vergleichende Kulturwissenschaft (weiterführend),yes,0
3,Allg. und vergleichende Literaturwissenschaft (grundständig),Allg. und vergleichende Literaturwissenschaft (grundständig),yes,0
3,Allg. und vergleichende Literaturwissenschaft (weiterführ.),Allg. und vergleichende Literaturwissenschaft (weiterführ.),yes,0
3,Allg. und vergleichende Sprachwissenschaft (grundständig),Allg. und vergleichende Sprachwissenschaft (grundständig),yes,0
3,Allg. und vergleichende Sprachwissenschaft (weiterführend),Allg. und vergleichende Sprachwissenschaft (weiterführend),yes,0
3,Alte Musik (grundständig),Alte Musik (grundständig),yes,0
3,Alte Musik (weiterführend),Alte Musik (weiterführend),yes,0
3,Altenbetreuer/in ,Altenbetreuer/in ,yes,0
3,Altenpflegehelfer/in,Altenpflegehelfer/in,yes,0
3,Altenpfleger/in,Altenpfleger/in,yes,0
3,Altentherapeut/in,Altentherapeut/in,yes,0
3,Altertumswissenschaften (grundständig),Altertumswissenschaften (grundständig),yes,0
3,Altertumswissenschaften (weiterführend),Altertumswissenschaften (weiterführend),yes,0
3,Altertumswissenschaftler/in,Altertumswissenschaftler/in,yes,0
3,Ambulante/r Pfleger/in,Ambulante/r Pfleger/in,yes,0
3,Amerikanist/in ,Amerikanist/in ,yes,0
3,Amerikanist/in (Uni) ,Amerikanist/in (Uni) ,yes,0
3,Amtliche/r Fachassistent/in (Fleischkontrolleur/in),Amtliche/r Fachassistent/in (Fleischkontrolleur/in),yes,0
3,Amtsanwalt/Amtsanwältin (FH) ,Amtsanwalt/Amtsanwältin (FH) ,yes,0
3,Analytiker/in - Chemie,Analytiker/in - Chemie,yes,0
3,Anästhesietechnische/r Assistent/in,Anästhesietechnische/r Assistent/in,yes,0
3,Änderungsschneider/in,Änderungsschneider/in,yes,0
3,Angestellte/r - Bundesanstalt für Arbeit ,Angestellte/r - Bundesanstalt für Arbeit ,yes,0
3,Angewandte Naturwissenschaft (grundständig),Angewandte Naturwissenschaft (grundständig),yes,0
3,Angewandte Naturwissenschaft (weiterführend),Angewandte Naturwissenschaft (weiterführend),yes,0
3,Anglist/in ,Anglist/in ,yes,0
3,Anglist/in (Uni) ,Anglist/in (Uni) ,yes,0
3,Anglist/in / Amerikanist/in,Anglist/in / Amerikanist/in,yes,0
3,"Anglistik, Amerikanistik (grundständig)","Anglistik, Amerikanistik (grundständig)",yes,0
3,"Anglistik, Amerikanistik (weiterführend)","Anglistik, Amerikanistik (weiterführend)",yes,0
3,Animateur/in - Freizeit,Animateur/in - Freizeit,yes,0
3,Animateur/in - Hotel- und Kurbetrieb ,Animateur/in - Hotel- und Kurbetrieb ,yes,0
3,Animationskünstler/in,Animationskünstler/in,yes,0
3,Ankleider/in / Garderobier/e,Ankleider/in / Garderobier/e,yes,0
3,Anknüpfer/in ,Anknüpfer/in ,yes,0
3,Anlageberater/in,Anlageberater/in,yes,0
3,Anlagenelektriker/in (Elektroanlageninstallation) ,Anlagenelektriker/in (Elektroanlageninstallation) ,yes,0
3,Anlagenmechaniker/in,Anlagenmechaniker/in,yes,0
3,Anlagenmechaniker/in - Apparatetechnik ,Anlagenmechaniker/in - Apparatetechnik ,yes,0
3,"Anlagenmechaniker/in - Sanitär-, Heizungs- und Klimatechnik","Anlagenmechaniker/in - Sanitär-, Heizungs- und Klimatechnik",yes,0
3,Anlagenmechaniker/in - Schweißtechnik ,Anlagenmechaniker/in - Schweißtechnik ,yes,0
3,Anlagenmechaniker/in - Versorgungstechnik ,Anlagenmechaniker/in - Versorgungstechnik ,yes,0
3,Anlagenmonteur/in (Telekommunikationstechnik) ,Anlagenmonteur/in (Telekommunikationstechnik) ,yes,0
3,Annonceur/in ,Annonceur/in ,yes,0
3,Anorganiker/in ,Anorganiker/in ,yes,0
3,Anreißer/in (Blechverformung) ,Anreißer/in (Blechverformung) ,yes,0
3,"Ansager/in (Flug-, Zugansage) ","Ansager/in (Flug-, Zugansage) ",yes,0
3,Antennenmonteur/in,Antennenmonteur/in,yes,0
3,Antennenwärter/in ,Antennenwärter/in ,yes,0
3,Anthropologe/Anthropologin ,Anthropologe/Anthropologin ,yes,0
3,Anthropologe/Anthropologin (Uni) ,Anthropologe/Anthropologin (Uni) ,yes,0
3,Anwendungsberater/in,Anwendungsberater/in,yes,0
3,Anwendungsberater/in - Kachelofen- u. Luftheizungsbau ,Anwendungsberater/in - Kachelofen- u. Luftheizungsbau ,yes,0
3,Anwendungsberater/in (Elektromaschinenmontage) ,Anwendungsberater/in (Elektromaschinenmontage) ,yes,0
3,Anwendungsprogrammierer/in ,Anwendungsprogrammierer/in ,yes,0
3,Anwendungssystemadministrator/in ,Anwendungssystemadministrator/in ,yes,0
3,Anwendungssystemberater/in ,Anwendungssystemberater/in ,yes,0
3,Anwendungstrainer/in ,Anwendungstrainer/in ,yes,0
3,Anzeigenberater/in (Verlag) ,Anzeigenberater/in (Verlag) ,yes,0
3,Anzeigenverkäufer/in,Anzeigenverkäufer/in,yes,0
3,Apothekenfacharbeiter/in ,Apothekenfacharbeiter/in ,yes,0
3,Apothekenhelfer/in ,Apothekenhelfer/in ,yes,0
3,Apotheker/in,Apotheker/in,yes,0
3,Apotheker/in (Uni) ,Apotheker/in (Uni) ,yes,0
3,Apotheker/in / Pharmazeut/in ,Apotheker/in / Pharmazeut/in ,yes,0
3,Apothekerassistent/in,Apothekerassistent/in,yes,0
3,Apparatewärter/in (Lebensmittelherstellung) ,Apparatewärter/in (Lebensmittelherstellung) ,yes,0
3,Application-Engineer/-Manager/in,Application-Engineer/-Manager/in,yes,0
3,Aquariumbauer/in ,Aquariumbauer/in ,yes,0
3,Arabist/in ,Arabist/in ,yes,0
3,Arabist/in (Uni) ,Arabist/in (Uni) ,yes,0
3,Arabistik (grundständig),Arabistik (grundständig),yes,0
