title_de,title_en
Werkstudent,Werkstudent
Abbrucharbeiter/in ,Abbrucharbeiter/in 
"Abfall-, Entsorgungstechnik (grundständig)","Abfall-, Entsorgungstechnik (grundständig)"
"Abfall-, Entsorgungstechnik (weiterführend)","Abfall-, Entsorgungstechnik (weiterführend)"
Abfallbeauftragte/r,Abfallbeauftragte/r
Abfallberater/in,Abfallberater/in
Abfüller/in,Abfüller/in
Abgleicher/in (Nachrichtentechnik) ,Abgleicher/in (Nachrichtentechnik) 
Absatz- und Werbewirtschaftler/in ,Absatz- und Werbewirtschaftler/in 
Absetzapparateführer/in ,Absetzapparateführer/in 
Abteilungsleiter-Assistent/in ,Abteilungsleiter-Assistent/in 
Abwassermeister/in,Abwassermeister/in
Account Manager/in IT ,Account Manager/in IT 
Account-Manager/in,Account-Manager/in
Adremadrucker/in ,Adremadrucker/in 
Aerobic-Trainer/in,Aerobic-Trainer/in
Afrikanist/in ,Afrikanist/in 
Afrikanist/in (Uni) ,Afrikanist/in (Uni) 
Afrikanistik (grundständig),Afrikanistik (grundständig)
Afrikanistik (weiterführend),Afrikanistik (weiterführend)
Agrarbiologe/-biologin,Agrarbiologe/-biologin
Agrarbiologe/-biologin (Uni) ,Agrarbiologe/-biologin (Uni) 
Agrarbiologie (grundständig),Agrarbiologie (grundständig)
Agrarbiologie (weiterführend) ,Agrarbiologie (weiterführend) 
Agraringenieur/in (FS) - Landwirt. Pflanzenprodukt. ,Agraringenieur/in (FS) - Landwirt. Pflanzenprodukt. 
Agraringenieur/in (FS) - Landwirt. Tierproduktion ,Agraringenieur/in (FS) - Landwirt. Tierproduktion 
Agraringenieur/in (FS) - Landwirt. Versuchsw.(Pflanzenprod.) ,Agraringenieur/in (FS) - Landwirt. Versuchsw.(Pflanzenprod.) 
Agraringenieur/in (FS) - Landwirt. Versuchswesen (Tierpr.) ,Agraringenieur/in (FS) - Landwirt. Versuchswesen (Tierpr.) 
Agraringenieur/in (FS) - Saat- und Pflanzenprodukte ,Agraringenieur/in (FS) - Saat- und Pflanzenprodukte 
Agraringenieur/in (FS) - Techn. d. industriem.Tierproduktion ,Agraringenieur/in (FS) - Techn. d. industriem.Tierproduktion 
Agraringenieur/in (FS) - Techn.d.industr. Pflanzenproduktion ,Agraringenieur/in (FS) - Techn.d.industr. Pflanzenproduktion 
Agrarmanagement (grundständig),Agrarmanagement (grundständig)
Agrarmanagement (weiterführend),Agrarmanagement (weiterführend)
Agrarservicemeister/in,Agrarservicemeister/in
Agrarwissenschaft (grundständig),Agrarwissenschaft (grundständig)
Agrarwissenschaft (weiterführend),Agrarwissenschaft (weiterführend)
Agrochemiker/in ,Agrochemiker/in 
Agrotechniker/in/Mechanisator/in ,Agrotechniker/in/Mechanisator/in 
Ägyptologe/Ägyptologin ,Ägyptologe/Ägyptologin 
Ägyptologe/in (Uni) ,Ägyptologe/in (Uni) 
Ägyptologie (grundständig),Ägyptologie (grundständig)
Ägyptologie (weiterführend),Ägyptologie (weiterführend)
Akkordeonfacharbeiter/in ,Akkordeonfacharbeiter/in 
Akrobat/in ,Akrobat/in 
Aktuar/in,Aktuar/in
Akustiker/in,Akustiker/in
Akustiker/in (Uni) ,Akustiker/in (Uni) 
Akustikschreiner/in ,Akustikschreiner/in 
Albanologe/Albanologin ,Albanologe/Albanologin 
Algesiologe/Algesiologin,Algesiologe/Algesiologin
Alleinsteuermann/-frau,Alleinsteuermann/-frau
Allg. und vergleichende Kulturwissenschaft (grundständig),Allg. und vergleichende Kulturwissenschaft (grundständig)
Allg. und vergleichende Kulturwissenschaft (weiterführend),Allg. und vergleichende Kulturwissenschaft (weiterführend)
Allg. und vergleichende Literaturwissenschaft (grundständig),Allg. und vergleichende Literaturwissenschaft (grundständig)
Allg. und vergleichende Literaturwissenschaft (weiterführ.),Allg. und vergleichende Literaturwissenschaft (weiterführ.)
Allg. und vergleichende Sprachwissenschaft (grundständig),Allg. und vergleichende Sprachwissenschaft (grundständig)
Allg. und vergleichende Sprachwissenschaft (weiterführend),Allg. und vergleichende Sprachwissenschaft (weiterführend)
Alte Musik (grundständig),Alte Musik (grundständig)
Alte Musik (weiterführend),Alte Musik (weiterführend)
Altenbetreuer/in ,Altenbetreuer/in 
Altenpflegehelfer/in,Altenpflegehelfer/in
Altenpfleger/in,Altenpfleger/in
Altentherapeut/in,Altentherapeut/in
Altertumswissenschaften (grundständig),Altertumswissenschaften (grundständig)
Altertumswissenschaften (weiterführend),Altertumswissenschaften (weiterführend)
Altertumswissenschaftler/in,Altertumswissenschaftler/in
Ambulante/r Pfleger/in,Ambulante/r Pfleger/in
Amerikanist/in ,Amerikanist/in 
Amerikanist/in (Uni) ,Amerikanist/in (Uni) 
Amtliche/r Fachassistent/in (Fleischkontrolleur/in),Amtliche/r Fachassistent/in (Fleischkontrolleur/in)
Amtsanwalt/Amtsanwältin (FH) ,Amtsanwalt/Amtsanwältin (FH) 
Analytiker/in - Chemie,Analytiker/in - Chemie
Anästhesietechnische/r Assistent/in,Anästhesietechnische/r Assistent/in
Änderungsschneider/in,Änderungsschneider/in
Angestellte/r - Bundesanstalt für Arbeit ,Angestellte/r - Bundesanstalt für Arbeit 
Angewandte Naturwissenschaft (grundständig),Angewandte Naturwissenschaft (grundständig)
Angewandte Naturwissenschaft (weiterführend),Angewandte Naturwissenschaft (weiterführend)
Anglist/in ,Anglist/in 
Anglist/in (Uni) ,Anglist/in (Uni) 
Anglist/in / Amerikanist/in,Anglist/in / Amerikanist/in
"Anglistik, Amerikanistik (grundständig)","Anglistik, Amerikanistik (grundständig)"
"Anglistik, Amerikanistik (weiterführend)","Anglistik, Amerikanistik (weiterführend)"
Animateur/in - Freizeit,Animateur/in - Freizeit
Animateur/in - Hotel- und Kurbetrieb ,Animateur/in - Hotel- und Kurbetrieb 
Animationskünstler/in,Animationskünstler/in
Ankleider/in / Garderobier/e,Ankleider/in / Garderobier/e
Anknüpfer/in ,Anknüpfer/in 
Anlageberater/in,Anlageberater/in
Anlagenelektriker/in (Elektroanlageninstallation) ,Anlagenelektriker/in (Elektroanlageninstallation) 
Anlagenmechaniker/in,Anlagenmechaniker/in
Anlagenmechaniker/in - Apparatetechnik ,Anlagenmechaniker/in - Apparatetechnik 
"Anlagenmechaniker/in - Sanitär-, Heizungs- und Klimatechnik","Anlagenmechaniker/in - Sanitär-, Heizungs- und Klimatechnik"
Anlagenmechaniker/in - Schweißtechnik ,Anlagenmechaniker/in - Schweißtechnik 
Anlagenmechaniker/in - Versorgungstechnik ,Anlagenmechaniker/in - Versorgungstechnik 
Anlagenmonteur/in (Telekommunikationstechnik) ,Anlagenmonteur/in (Telekommunikationstechnik) 
Annonceur/in ,Annonceur/in 
Anorganiker/in ,Anorganiker/in 
Anreißer/in (Blechverformung) ,Anreißer/in (Blechverformung) 
"Ansager/in (Flug-, Zugansage) ","Ansager/in (Flug-, Zugansage) "
Antennenmonteur/in,Antennenmonteur/in
Antennenwärter/in ,Antennenwärter/in 
Anthropologe/Anthropologin ,Anthropologe/Anthropologin 
Anthropologe/Anthropologin (Uni) ,Anthropologe/Anthropologin (Uni) 
Anwendungsberater/in,Anwendungsberater/in
Anwendungsberater/in - Kachelofen- u. Luftheizungsbau ,Anwendungsberater/in - Kachelofen- u. Luftheizungsbau 
Anwendungsberater/in (Elektromaschinenmontage) ,Anwendungsberater/in (Elektromaschinenmontage) 
Anwendungsprogrammierer/in ,Anwendungsprogrammierer/in 
Anwendungssystemadministrator/in ,Anwendungssystemadministrator/in 
Anwendungssystemberater/in ,Anwendungssystemberater/in 
Anwendungstrainer/in ,Anwendungstrainer/in 
Anzeigenberater/in (Verlag) ,Anzeigenberater/in (Verlag) 
Anzeigenverkäufer/in,Anzeigenverkäufer/in
Apothekenfacharbeiter/in ,Apothekenfacharbeiter/in 
Apothekenhelfer/in ,Apothekenhelfer/in 
Apotheker/in,Apotheker/in
Apotheker/in (Uni) ,Apotheker/in (Uni) 
Apotheker/in / Pharmazeut/in ,Apotheker/in / Pharmazeut/in 
Apothekerassistent/in,Apothekerassistent/in
Apparatewärter/in (Lebensmittelherstellung) ,Apparatewärter/in (Lebensmittelherstellung) 
